"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2548","4.4 CSRF token validation - ensure signup is protected","chromium","Fri Mar 27 23:51:45 UTC 2026","passed","Fri Mar 27 23:51:48 UTC 2026","Sign up feature > 4. Security Tests","ui/tests/signup.spec.ts","",""
"","1439","1.5 SQL injection style input should be rejected","chromium","Fri Mar 27 23:50:18 UTC 2026","passed","Fri Mar 27 23:50:19 UTC 2026","Login Feature: Negative and Edge Cases","ui/tests/login.spec.ts","",""
"","1928","4.2 Secure transport verification - ensure HTTPS","chromium","Fri Mar 27 23:51:18 UTC 2026","passed","Fri Mar 27 23:51:20 UTC 2026","Sign up feature > 4. Security Tests","ui/tests/signup.spec.ts","",""
"","2160","should submit the contact form successfully","chromium","Fri Mar 27 23:50:13 UTC 2026","passed","Fri Mar 27 23:50:15 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1591","3.3 Duplicate email address should be rejected","chromium","Fri Mar 27 23:50:57 UTC 2026","passed","Fri Mar 27 23:50:58 UTC 2026","Sign up feature > 3. Negative Paths","ui/tests/signup.spec.ts","",""
"","2162","1.3 invalid email format should fail with error","chromium","Fri Mar 27 23:50:15 UTC 2026","passed","Fri Mar 27 23:50:18 UTC 2026","Login Feature: Negative and Edge Cases","ui/tests/login.spec.ts","",""
"","2199","4.1 XSS prevention - script tags should be sanitized","chromium","Fri Mar 27 23:51:15 UTC 2026","passed","Fri Mar 27 23:51:18 UTC 2026","Sign up feature > 4. Security Tests","ui/tests/signup.spec.ts","",""
"","1880","3.1 Invalid email format should fail with error","chromium","Fri Mar 27 23:50:54 UTC 2026","passed","Fri Mar 27 23:50:55 UTC 2026","Sign up feature > 3. Negative Paths","ui/tests/signup.spec.ts","",""
"","6147","4.3 Rate limiting - rapid signup attempts should be throttled","chromium","Fri Mar 27 23:51:38 UTC 2026","failed","Fri Mar 27 23:51:44 UTC 2026","Sign up feature > 4. Security Tests","ui/tests/signup.spec.ts","",""
"","3459","3.4 SQL injection style input should be safely rejected","chromium","Fri Mar 27 23:51:11 UTC 2026","failed","Fri Mar 27 23:51:14 UTC 2026","Sign up feature > 3. Negative Paths","ui/tests/signup.spec.ts","",""
"","560","seed using loginPage fixture","chromium","Fri Mar 27 23:50:25 UTC 2026","failed","Fri Mar 27 23:50:26 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","707","get started link","chromium","Fri Mar 27 23:50:13 UTC 2026","passed","Fri Mar 27 23:50:13 UTC 2026","","api/tests/example.spec.ts","",""
"","3238","should log out successfully","chromium","Fri Mar 27 23:50:19 UTC 2026","passed","Fri Mar 27 23:50:22 UTC 2026","Login tests","ui/tests/loging.spec.ts","",""
"","7436","2.1 Create account with valid data","chromium","Fri Mar 27 23:50:45 UTC 2026","failed","Fri Mar 27 23:50:52 UTC 2026","Sign up feature > 2. Happy Path","ui/tests/signup.spec.ts","",""
"","1243","3.2 Empty name field should show validation error","chromium","Fri Mar 27 23:50:56 UTC 2026","passed","Fri Mar 27 23:50:57 UTC 2026","Sign up feature > 3. Negative Paths","ui/tests/signup.spec.ts","",""
"","505","has title","chromium","Fri Mar 27 23:50:11 UTC 2026","passed","Fri Mar 27 23:50:11 UTC 2026","","api/tests/example.spec.ts","",""
